date,Open,High,Low,Close,Adj Close,Volume
2013-01-14,19.44,19.44,19.44,19.44,19.44,19.44
2013-01-15,19.52,19.52,19.52,19.52,19.52,19.52
2013-01-16,20.06,20.06,20.06,20.06,20.06,20.06
2013-01-17,20.13,20.13,20.13,20.13,20.13,20.13
2013-01-18,20.01,20.01,20.01,20.01,20.01,20.01
2013-01-22,19.86,19.86,19.86,19.86,19.86,19.86
2013-01-23,20.14,20.14,20.14,20.14,20.14,20.14
2013-01-24,20.48,20.48,20.48,20.48,20.48,20.48
2013-01-25,20.48,20.48,20.48,20.48,20.48,20.48
2013-01-28,20.3,20.3,20.3,20.3,20.3,20.3
2013-01-29,19.89,19.89,19.89,19.89,19.89,19.89
2013-01-30,20.05,20.05,20.05,20.05,20.05,20.05
2013-01-31,19.61,19.61,19.61,19.61,19.61,19.61
2013-02-01,19.77,19.77,19.77,19.77,19.77,19.77
2013-02-04,19.37,19.37,19.37,19.37,19.37,19.37
2013-02-05,19.66,19.66,19.66,19.66,19.66,19.66
2013-02-06,19.83,19.83,19.83,19.83,19.83,19.83
2013-02-07,20.3,20.3,20.3,20.3,20.3,20.3
2013-02-08,20.5,20.5,20.5,20.5,20.5,20.5
2013-02-11,20.91,20.91,20.91,20.91,20.91,20.91
2013-02-12,21.21,21.21,21.21,21.21,21.21,21.21
2013-02-13,21.14,21.14,21.14,21.14,21.14,21.14
2013-02-14,21.2,21.2,21.2,21.2,21.2,21.2
2013-02-15,20.98,20.98,20.98,20.98,20.98,20.98
2013-02-19,21.29,21.29,21.29,21.29,21.29,21.29
2013-02-20,21.23,21.23,21.23,21.23,21.23,21.23
2013-02-21,20.86,20.86,20.86,20.86,20.86,20.86
2013-02-22,21.23,21.23,21.23,21.23,21.23,21.23
2013-02-25,20.75,20.75,20.75,20.75,20.75,20.75
2013-02-26,20.78,20.78,20.78,20.78,20.78,20.78
2013-02-27,21.26,21.26,21.26,21.26,21.26,21.26
2013-02-28,21.41,21.41,21.41,21.41,21.41,21.41
2013-03-01,21.91,21.91,21.91,21.91,21.91,21.91
2013-03-04,22.7,22.7,22.7,22.7,22.7,22.7
2013-03-05,22.97,22.97,22.97,22.97,22.97,22.97
2013-03-06,22.76,22.76,22.76,22.76,22.76,22.76
2013-03-07,22.71,22.71,22.71,22.71,22.71,22.71
2013-03-08,22.83,22.83,22.83,22.83,22.83,22.83
2013-03-11,22.6,22.6,22.6,22.6,22.6,22.6
2013-03-12,22.4,22.4,22.4,22.4,22.4,22.4
2013-03-13,22.27,22.27,22.27,22.27,22.27,22.27
2013-03-14,22.44,22.44,22.44,22.44,22.44,22.44
2013-03-15,22.02,22.02,22.02,22.02,22.02,22.02
2013-03-18,22.07,22.07,22.07,22.07,22.07,22.07
2013-03-19,22.05,22.05,22.05,22.05,22.05,22.05
2013-03-20,22.1,22.1,22.1,22.1,22.1,22.1
2013-03-21,22.86,22.86,22.86,22.86,22.86,22.86
2013-03-22,23.2,23.2,23.2,23.2,23.2,23.2
2013-03-25,23.36,23.36,23.36,23.36,23.36,23.36
2013-03-26,23.55,23.55,23.55,23.55,23.55,23.55
2013-03-27,23.65,23.65,23.65,23.65,23.65,23.65
2013-03-28,23.53,23.53,23.53,23.53,23.53,23.53
2013-04-01,23.46,23.46,23.46,23.46,23.46,23.46
2013-04-02,23.74,23.74,23.74,23.74,23.74,23.74
2013-04-03,23.38,23.38,23.38,23.38,23.38,23.38
2013-04-04,23.5,23.5,23.5,23.5,23.5,23.5
2013-04-05,23.25,23.25,23.25,23.25,23.25,23.25
2013-04-08,23.36,23.36,23.36,23.36,23.36,23.36
2013-04-09,23.9,23.9,23.9,23.9,23.9,23.9
2013-04-10,24.26,24.26,24.26,24.26,24.26,24.26
2013-04-11,24.45,24.45,24.45,24.45,24.45,24.45
2013-04-12,24.76,24.76,24.76,24.76,24.76,24.76
2013-04-15,24.06,24.06,24.06,24.06,24.06,24.06
2013-04-16,23.94,23.94,23.94,23.94,23.94,23.94
2013-04-17,23.75,23.75,23.75,23.75,23.75,23.75
2013-04-18,23.26,23.26,23.26,23.26,23.26,23.26
2013-04-19,23.6,23.6,23.6,23.6,23.6,23.6
2013-04-22,23.88,23.88,23.88,23.88,23.88,23.88
2013-04-23,24.37,24.37,24.37,24.37,24.37,24.37
2013-04-24,24.76,24.76,24.76,24.76,24.76,24.76
2013-04-25,25.13,25.13,25.13,25.13,25.13,25.13
2013-04-26,24.76,24.76,24.76,24.76,24.76,24.76
2013-04-29,24.45,24.45,24.45,24.45,24.45,24.45
2013-04-30,24.69,24.69,24.69,24.69,24.69,24.69
2013-05-01,24.29,24.29,24.29,24.29,24.29,24.29
2013-05-02,24.96,24.96,24.96,24.96,24.96,24.96
2013-05-03,25.09,25.09,25.09,25.09,25.09,25.09
2013-05-06,25.15,25.15,25.15,25.15,25.15,25.15
2013-05-07,26.02,26.02,26.02,26.02,26.02,26.02
2013-05-08,26.47,26.47,26.47,26.47,26.47,26.47
2013-05-09,26.2,26.2,26.2,26.2,26.2,26.2
2013-05-10,26.76,26.76,26.76,26.76,26.76,26.76
2013-05-13,26.42,26.42,26.42,26.42,26.42,26.42
2013-05-14,26.72,26.72,26.72,26.72,26.72,26.72
2013-05-15,27.21,27.21,27.21,27.21,27.21,27.21
2013-05-16,26.72,26.72,26.72,26.72,26.72,26.72
2013-05-17,26.49,26.49,26.49,26.49,26.49,26.49
