Id,spx-1950-2018,len,datetime,open,high,low,close,volume,openinterest,MomentumStrategy2,len,datetime,MACD,len,macd,signal,CrossOver,len,crossover,CrossDown,len,cross,Broker,len,cash,value,BuySell,len,buy,sell,Trades,len,pnlplus,pnlminus
2074,spx-1950-2018,2074,2017-03-29 23:59:59.999989,2356.54,2363.36,2352.94,2361.13,3106940000.0,0.0,MomentumStrategy2,2074,736417.9999999999,MACD,2074,-2.882573636156394,-7.24562107024431,CrossOver,2074,0.0,CrossDown,2074,0.0,Broker,2074,89695.42416220893,99664.77042697107,BuySell,2074,,,Trades,2074,,
2075,spx-1950-2018,2075,2017-03-30 23:59:59.999989,2361.31,2370.42,2358.58,2368.06,3158420000.0,0.0,MomentumStrategy2,2075,736418.9999999999,MACD,2075,-3.4947235784511577,-6.49544157188568,CrossOver,2075,0.0,CrossDown,2075,0.0,Broker,2075,89695.42416220893,99694.03081060722,BuySell,2075,,,Trades,2075,,
2076,spx-1950-2018,2076,2017-03-31 23:59:59.999989,2364.82,2370.35,2362.6,2362.72,3354110000.0,0.0,MomentumStrategy2,2076,736419.9999999999,MACD,2076,-3.508519418385731,-5.89805714118569,CrossOver,2076,0.0,CrossDown,2076,0.0,Broker,2076,89695.42416220893,99671.48384832482,BuySell,2076,,,Trades,2076,,
2077,spx-1950-2018,2077,2017-04-03 23:59:59.999989,2362.34,2365.87,2344.73,2358.84,3416400000.0,0.0,MomentumStrategy2,2077,736422.9999999999,MACD,2077,-3.1698293280969665,-5.352411578567946,CrossOver,2077,0.0,CrossDown,2077,0.0,Broker,2077,89695.42416220893,99655.10141131065,BuySell,2077,,,Trades,2077,,
2078,spx-1950-2018,2078,2017-04-04 23:59:59.999989,2354.76,2360.53,2350.72,2360.16,3206240000.0,0.0,MomentumStrategy2,2078,736423.9999999999,MACD,2078,-2.973649578405457,-4.876659178535448,CrossOver,2078,0.0,CrossDown,2078,0.0,Broker,2078,89695.42416220893,99660.67481771753,BuySell,2078,,,Trades,2078,,
2079,spx-1950-2018,2079,2017-04-05 23:59:59.999989,2366.59,2378.36,2350.52,2352.95,3770520000.0,0.0,MomentumStrategy2,2079,736424.9999999999,MACD,2079,-2.2109030556739526,-4.343507953963149,CrossOver,2079,0.0,CrossDown,2079,0.0,Broker,2079,89695.42416220893,99630.23219635872,BuySell,2079,,,Trades,2079,,
2080,spx-1950-2018,2080,2017-04-06 23:59:59.999989,2353.79,2364.16,2348.9,2357.49,3201920000.0,0.0,MomentumStrategy2,2080,736425.9999999999,MACD,2080,-1.9502793919305077,-3.864862241556621,CrossOver,2080,0.0,CrossDown,2080,0.0,Broker,2080,89695.42416220893,99649.40133657632,BuySell,2080,,,Trades,2080,,
2081,spx-1950-2018,2081,2017-04-07 23:59:59.999989,2356.59,2363.76,2350.74,2355.54,3053150000.0,0.0,MomentumStrategy2,2081,736426.9999999999,MACD,2081,-1.568306101055441,-3.4055510134563853,CrossOver,2081,0.0,CrossDown,2081,0.0,Broker,2081,89695.42416220893,99641.16789529343,BuySell,2081,,,Trades,2081,,
2082,spx-1950-2018,2082,2017-04-10 23:59:59.999989,2357.16,2366.37,2351.5,2357.16,2785410000.0,0.0,MomentumStrategy2,2082,736429.9999999999,MACD,2082,-1.3803976127510396,-3.000520333315316,CrossOver,2082,0.0,CrossDown,2082,0.0,Broker,2082,89695.42416220893,99648.00798497461,BuySell,2082,,,Trades,2082,,
2083,spx-1950-2018,2083,2017-04-11 23:59:59.999989,2353.92,2355.22,2337.25,2353.78,3117420000.0,0.0,MomentumStrategy2,2083,736430.9999999999,MACD,2083,-0.9478152060992215,-2.589979307872097,CrossOver,2083,0.0,CrossDown,2083,0.0,Broker,2083,89695.42416220893,99633.73668675093,BuySell,2083,,,Trades,2083,,
