Id,spx-1950-2018,len,datetime,open,high,low,close,volume,openinterest,RegimeSwitchingStrategy,len,datetime,MACD,len,macd,signal,CrossOver,len,crossover,CrossDown,len,cross,ATR,len,atr,SMA,len,sma,SimpleMovingAverage,len,sma,StdDev,len,stddev,Broker,len,cash,value,BuySell,len,buy,sell,Trades,len,pnlplus,pnlminus
43,spx-1950-2018,43,2016-03-04 23:59:59.999989,1994.01,2009.13,1986.77,1999.99,6049930000.0,0.0,RegimeSwitchingStrategy,43,736027.9999999999,MACD,43,20.139773531131596,8.529132950539658,CrossOver,43,0.0,CrossDown,43,0.0,ATR,43,30.81969958301579,SMA,43,1915.0240000000001,SimpleMovingAverage,43,1940.6353333333332,StdDev,43,36.15700316982817,Broker,43,109929.94088923156,99649.85864816242,BuySell,43,,,Trades,43,,
44,spx-1950-2018,44,2016-03-07 23:59:59.999989,1996.11,2006.12,1989.38,2001.76,4968180000.0,0.0,RegimeSwitchingStrategy,44,736030.9999999999,MACD,44,22.302924665649243,11.283891293561576,CrossOver,44,0.0,CrossDown,44,0.0,ATR,44,29.814006755657505,SMA,44,1918.1860000000001,SimpleMovingAverage,44,1949.7673333333332,StdDev,44,33.00628737412214,Broker,44,109929.94088923156,99640.76072988949,BuySell,44,,,Trades,44,,
45,spx-1950-2018,45,2016-03-08 23:59:59.999989,1996.88,1996.88,1977.43,1979.26,4641650000.0,0.0,RegimeSwitchingStrategy,45,736031.9999999999,MACD,45,21.94866501701631,13.416846038252523,CrossOver,45,0.0,CrossDown,45,0.0,ATR,45,29.42229198739625,SMA,45,1921.592,SimpleMovingAverage,45,1955.346,StdDev,45,30.340240122097246,Broker,45,109929.94088923156,99756.41223335903,BuySell,45,,,Trades,45,,
46,spx-1950-2018,46,2016-03-09 23:59:59.999989,1981.44,1992.69,1979.84,1989.26,4038120000.0,0.0,RegimeSwitchingStrategy,46,736032.9999999999,MACD,46,22.218704722309212,15.177217775063863,CrossOver,46,0.0,CrossDown,46,0.0,ATR,46,28.27998541686795,SMA,46,1924.4463333333333,SimpleMovingAverage,46,1959.5086666666668,StdDev,46,30.42418158123773,Broker,46,109929.94088923156,99705.01156515034,BuySell,46,,,Trades,46,,
47,spx-1950-2018,47,2016-03-10 23:59:59.999989,1990.97,2005.08,1969.25,1989.57,4376790000.0,0.0,RegimeSwitchingStrategy,47,736033.9999999999,MACD,47,22.201799024492402,16.58213402494957,CrossOver,47,0.0,CrossDown,47,0.0,ATR,47,28.819272172805952,SMA,47,1928.0003333333334,SimpleMovingAverage,47,1964.2913333333333,StdDev,47,29.106615941317546,Broker,47,109929.94088923156,99703.41814443587,BuySell,47,,,Trades,47,,
48,spx-1950-2018,48,2016-03-11 23:59:59.999989,1994.71,2022.37,1994.71,2022.19,4078620000.0,0.0,RegimeSwitchingStrategy,48,736034.9999999999,MACD,48,24.537707107120468,18.17324864138375,CrossOver,48,0.0,CrossDown,48,0.0,ATR,48,29.10360987474838,SMA,48,1932.2946666666664,SimpleMovingAverage,48,1971.252,StdDev,48,29.631193743541196,Broker,48,109929.94088923156,99535.74916473913,BuySell,48,,,Trades,48,,
49,spx-1950-2018,49,2016-03-14 23:59:59.999989,2019.27,2024.57,2012.05,2019.64,3487850000.0,0.0,RegimeSwitchingStrategy,49,736037.9999999999,MACD,49,25.884783729041374,19.715555658915278,CrossOver,49,0.0,CrossDown,49,0.0,ATR,49,27.91906631226635,SMA,49,1934.9413333333332,SimpleMovingAverage,49,1976.1946666666665,StdDev,49,31.07185046880586,Broker,49,109929.94088923156,99548.85633513235,BuySell,49,,,Trades,49,,
50,spx-1950-2018,50,2016-03-15 23:59:59.999989,2015.27,2015.94,2005.23,2015.93,3560280000.0,0.0,RegimeSwitchingStrategy,50,736038.9999999999,MACD,50,26.349247934488858,21.042294114029993,CrossOver,50,0.0,CrossDown,50,0.0,ATR,50,26.954133004247332,SMA,50,1937.493,SimpleMovingAverage,50,1982.5053333333335,StdDev,50,28.805911862350545,Broker,50,109929.94088923156,99567.92598303777,BuySell,50,,,Trades,50,,
51,spx-1950-2018,51,2016-03-16 23:59:59.999989,2014.24,2032.02,2010.04,2027.22,4057020000.0,0.0,RegimeSwitchingStrategy,51,736039.9999999999,MACD,51,27.313494842637283,22.296534259751454,CrossOver,51,0.0,CrossDown,51,0.0,ATR,51,26.598837789658237,SMA,51,1941.6326666666669,SimpleMovingAverage,51,1989.0,StdDev,51,27.123848301204497,Broker,51,109929.94088923156,99509.89462863017,BuySell,51,,,Trades,51,,
52,spx-1950-2018,52,2016-03-17 23:59:59.999989,2026.9,2046.24,2022.16,2040.59,4530480000.0,0.0,RegimeSwitchingStrategy,52,736040.9999999999,MACD,52,28.824246752524232,23.60207675830601,CrossOver,52,0.0,CrossDown,52,0.0,ATR,52,26.418920804682646,SMA,52,1945.9013333333335,SimpleMovingAverage,52,1994.926,StdDev,52,28.02263746807544,Broker,52,109929.94088923156,99441.17193523515,BuySell,52,,,Trades,52,,
