Id,spx-2013-2018,len,datetime,open,high,low,close,volume,openinterest,MeanReversionStrategy,len,datetime,SimpleMovingAverage,len,sma,Broker,len,cash,value,BuySell,len,buy,sell,Trades,len,pnlplus,pnlminus
124,spx-2013-2018,124,2013-08-07 23:59:59.999989,1695.3,1695.3,1684.91,1690.91,3010230000.0,0.0,MeanReversionStrategy,124,735087.9999999999,SimpleMovingAverage,124,,Broker,124,100000.0,100000.0,BuySell,124,,,Trades,124,,
125,spx-2013-2018,125,2013-08-08 23:59:59.999989,1693.35,1700.18,1688.38,1697.48,3271660000.0,0.0,MeanReversionStrategy,125,735088.9999999999,SimpleMovingAverage,125,,Broker,125,100000.0,100000.0,BuySell,125,,,Trades,125,,
126,spx-2013-2018,126,2013-08-09 23:59:59.999989,1696.1,1699.42,1686.02,1691.42,2957670000.0,0.0,MeanReversionStrategy,126,735089.9999999999,SimpleMovingAverage,126,,Broker,126,100000.0,100000.0,BuySell,126,,,Trades,126,,
127,spx-2013-2018,127,2013-08-12 23:59:59.999989,1688.37,1691.49,1683.35,1689.47,2789160000.0,0.0,MeanReversionStrategy,127,735092.9999999999,SimpleMovingAverage,127,,Broker,127,100000.0,100000.0,BuySell,127,,,Trades,127,,
128,spx-2013-2018,128,2013-08-13 23:59:59.999989,1690.65,1696.81,1682.62,1694.16,3035560000.0,0.0,MeanReversionStrategy,128,735093.9999999999,SimpleMovingAverage,128,1606.981875,Broker,128,100000.0,100000.0,BuySell,128,,,Trades,128,,
129,spx-2013-2018,129,2013-08-14 23:59:59.999989,1693.88,1695.52,1684.83,1685.39,2871430000.0,0.0,MeanReversionStrategy,129,735094.9999999999,SimpleMovingAverage,129,1608.29734375,Broker,129,100000.0,100000.0,BuySell,129,,,Trades,129,,
130,spx-2013-2018,130,2013-08-15 23:59:59.999989,1679.61,1679.61,1658.59,1661.32,3426690000.0,0.0,MeanReversionStrategy,130,735095.9999999999,SimpleMovingAverage,130,1609.405859375,Broker,130,100000.0,100000.0,BuySell,130,,,Trades,130,,
131,spx-2013-2018,131,2013-08-16 23:59:59.999989,1661.22,1663.6,1652.61,1655.83,3211450000.0,0.0,MeanReversionStrategy,131,735096.9999999999,SimpleMovingAverage,131,1610.464453125,Broker,131,98338.78,99994.61,BuySell,131,1661.22,,Trades,131,,
132,spx-2013-2018,132,2013-08-19 23:59:59.999989,1655.25,1659.18,1645.84,1646.06,2904530000.0,0.0,MeanReversionStrategy,132,735099.9999999999,SimpleMovingAverage,132,1611.438515625,Broker,132,98338.78,99984.84,BuySell,132,,,Trades,132,,
133,spx-2013-2018,133,2013-08-20 23:59:59.999989,1646.81,1658.92,1646.08,1652.35,2994090000.0,0.0,MeanReversionStrategy,133,735100.9999999999,SimpleMovingAverage,133,1612.474140625,Broker,133,98338.78,99991.13,BuySell,133,,,Trades,133,,
134,spx-2013-2018,134,2013-08-21 23:59:59.999989,1650.66,1656.99,1639.43,1642.8,2932180000.0,0.0,MeanReversionStrategy,134,735101.9999999999,SimpleMovingAverage,134,1613.348046875,Broker,134,98338.78,99981.58,BuySell,134,,,Trades,134,,
135,spx-2013-2018,135,2013-08-22 23:59:59.999989,1645.03,1659.55,1645.03,1656.96,2537460000.0,0.0,MeanReversionStrategy,135,735102.9999999999,SimpleMovingAverage,135,1614.4809375,Broker,135,98338.78,99995.74,BuySell,135,,,Trades,135,,
136,spx-2013-2018,136,2013-08-23 23:59:59.999989,1659.92,1664.85,1654.81,1663.5,2582670000.0,0.0,MeanReversionStrategy,136,735103.9999999999,SimpleMovingAverage,136,1615.739375,Broker,136,98338.78,100002.28,BuySell,136,,,Trades,136,,
137,spx-2013-2018,137,2013-08-26 23:59:59.999989,1664.29,1669.51,1656.02,1656.78,2430670000.0,0.0,MeanReversionStrategy,137,735106.9999999999,SimpleMovingAverage,137,1616.84234375,Broker,137,98338.78,99995.56,BuySell,137,,,Trades,137,,
138,spx-2013-2018,138,2013-08-27 23:59:59.999989,1652.54,1652.54,1629.05,1630.48,3219190000.0,0.0,MeanReversionStrategy,138,735107.9999999999,SimpleMovingAverage,138,1617.956640625,Broker,138,98338.78,99969.26,BuySell,138,,,Trades,138,,
139,spx-2013-2018,139,2013-08-28 23:59:59.999989,1630.25,1641.18,1627.47,1634.96,2784010000.0,0.0,MeanReversionStrategy,139,735108.9999999999,SimpleMovingAverage,139,1619.034921875,Broker,139,98338.78,99973.74,BuySell,139,,,Trades,139,,
140,spx-2013-2018,140,2013-08-29 23:59:59.999989,1633.5,1646.41,1630.88,1638.17,2527550000.0,0.0,MeanReversionStrategy,140,735109.9999999999,SimpleMovingAverage,140,1619.989453125,Broker,140,98338.78,99976.95,BuySell,140,,,Trades,140,,
