Date,XLY,XLF,XLK,XLE,XLV,XLI,XLP,XLB,XLU,mr_wealth,mo_wealth,mr_wealth_cross,mo_wealth_cross
2012-03-12,40.159813,8.339819,26.285217,63.827721,33.084812,32.700503999999995,28.668783,32.144611,28.6367,672559.5215376065,1365124.8515711888,1852421.2685431978,672072.537020749
2012-03-13,40.78244,8.659932000000001,26.806963,64.597649,33.556540999999996,33.380833,28.882156,32.673882,28.733304999999998,672559.5215376065,1365124.8515711888,1852421.2685431978,672072.537020749
2012-03-14,40.727493,8.671164,26.905915999999998,63.974757999999994,33.547466,33.301315,28.796812,32.550388,28.306620000000002,675828.7328347377,1396201.4203655364,1868592.7464330923,672694.5134868857
2012-03-15,40.864853000000004,8.8228,26.97788,64.078598,33.601898,33.698921,28.848021000000003,32.788555,28.282463,675828.7328347377,1403966.42702321,1858864.2768862753,672694.5134868857
2012-03-16,40.733505,8.856603999999999,26.965244000000002,64.96006,33.598255,33.714008,28.829141999999997,32.851425,28.25971,675828.7328347377,1411807.8748874702,1874087.8402306982,672694.5134868857
2012-03-19,40.944744,8.901674,27.163785999999998,65.255325,33.58913,33.714008,28.846297999999997,33.055092,28.064711,675828.7328347377,1399882.866233422,1901455.550985602,672694.5134868857
2012-03-20,41.009045,8.946748,27.136713,64.273987,33.415909,33.323437,28.829141999999997,32.869141,28.097203999999998,675828.7328347377,1395710.0580533794,1904800.5915640441,672694.5134868857
2012-03-21,41.06414,8.907311,27.127684000000002,63.50974300000001,33.397671,33.305687,28.872041999999997,32.869141,28.040331,675828.7328347377,1359401.0576175973,1912809.0364894678,672694.5134868857
2012-03-22,40.963112,8.788995,27.064518,62.07682,33.288253999999995,32.932865,28.897783,32.337852000000005,28.105337,675828.7328347377,1377554.427274892,1910556.701848283,672694.5134868857
2012-03-23,41.009045,8.862235,27.064518,62.75419599999999,33.38855,32.986111,28.966433000000002,32.683178000000005,28.113457,675828.7328347377,1400427.3330942993,1946973.375098491,672694.5134868857
2012-03-26,41.661159999999995,9.003085,27.461592,63.223167000000004,33.972069,33.474334999999996,29.163769,33.108215,28.308465999999996,675828.7328347377,1385316.8971947604,1942010.7021462861,672694.5134868857
2012-03-27,41.596844,8.918575,27.45257,62.589211,34.035896,33.367816999999995,29.146608,33.037384,28.446594,675828.7328347377,1375543.49546177,1952007.759294841,672694.5134868857
2012-03-28,41.238667,8.941112,27.353302000000003,61.807587,33.962948,33.048248,29.077963,32.576927000000005,28.210958,675828.7328347377,1366995.7061345386,1934787.495573944,672694.5134868857
2012-03-29,41.229465000000005,8.850969000000001,27.299158000000002,61.807587,34.035896,33.06601,29.069384000000003,32.621204,28.324715,675828.7328347377,1376629.8092997165,1933527.4200447253,672694.5134868857
2012-03-30,41.41317,8.901674,27.217937,62.311294999999994,34.291183000000004,33.216915,29.240992,32.736313,28.470974,675828.7328347377,1393955.5401060756,1940793.1887723538,672694.5134868857
2012-04-02,41.523376,8.969284,27.50672,62.919224,34.409714,33.429951,29.472642999999998,33.196774,28.617229,675828.7328347377,1376641.3468074342,1945376.3701962982,672694.5134868857
2012-04-03,41.440712,8.918575,27.488667,62.372069999999994,34.391479,33.190273,29.309631,32.948837,28.600975,675828.7328347377,1352891.7368986304,1919574.223909256,672694.5134868857
